244	161	169
239	122	101
218	132	159
128	51	88
229	84	97
225	61	93
151	66	73
236	98	146
235	99	107
235	92	151
228	112	130
234	83	68
233	72	88
200	99	120
231	66	24
234	83	49
230	7	96
144	34	21
229	30	26
149	53	140
160	19	20
144	26	50
196	3	43
187	14	99
57	30	28
96	33	39
242	143	155
209	122	111
240	124	110
239	119	113
223	74	114
239	120	129
238	116	149
220	112	101
235	85	62
221	43	71
233	134	147
232	72	93
241	133	146
235	89	106
220	72	95
234	74	68
208	82	80
230	75	85
229	102	100
197	78	86
188	66	95
233	67	124
170	93	87
213	15	56
198	4	40
187	76	100
229	33	23
232	49	68
150	29	75
192	21	82
172	43	86
232	51	67
227	46	75
210	87	95
226	54	108
237	97	123
229	28	79
229	27	79
234	71	82
228	27	44
196	53	78
207	27	105
110	70	69
236	99	84
237	101	123
198	116	85
229	0	66
232	63	74
228	0	104
211	97	121
217	25	32
187	195	194
219	112	150
239	123	107
228	97	119
209	84	110
228	0	62
218	79	77
234	80	105
240	129	130
46	71	99
234	81	86
232	70	24
237	108	126
208	84	107
189	81	84
204	74	107
220	0	44
229	47	49
207	29	88
233	108	129
203	122	132
225	36	75
230	105	157
150	81	143
224	38	47
182	38	49
235	89	89
134	85	109
190	3	14
216	177	210
237	150	142
244	162	163
234	153	167
239	130	112
240	136	157
229	147	151
238	136	144
225	65	72
233	71	38
236	122	134
240	123	131
223	108	115
222	66	109
223	68	91
234	80	113
254	84	169
225	95	123
219	43	93
234	70	110
250	220	220
218	118	136
240	125	112
229	13	56
238	243	247
245	165	141
230	120	140
143	89	81
229	84	97
225	61	93
151	66	73
236	98	146
229	62	118
213	103	127
214	60	63
177	66	83
163	39	51
186	6	31
237	113	126
250	207	207
229	84	97
225	61	93
151	66	73
236	98	146
250	220	220
244	161	169
239	122	101
218	132	159
128	51	88
