241	115	100
227	110	99
234	76	73
213	61	73
253	67	52
255	61	64
255	50	33
193	42	51
255	46	52
253	121	144
255	119	129
236	81	147
216	142	140
255	119	125
255	97	99
233	58	91
248	101	127
242	77	119
255	45	88
255	35	69
188	64	93
187	58	96
184	47	84
252	110	72
250	66	28
232	47	44
228	0	33
153	65	61
138	0	15
168	13	31
142	38	35
228	86	98
253	63	111
217	62	94
239	66	70
178	73	87
205	0	67
200	43	64
178	0	50
232	70	49
190	43	36
158	51	61
178	48	48
137	40	51
130	46	46
128	41	49
236	120	121
254	105	127
250	80	89
201	45	56
196	55	89
240	111	165
159	47	85
216	94	83
229	59	68
214	73	46
212	64	54
191	58	63
179	36	38
179	9	12
215	95	107
222	79	99
209	69	104
215	45	81
158	48	95
145	37	59
161	71	81
172	80	91
110	33	49
237	85	62
229	35	26
231	45	48
149	9	12
240	105	119
225	74	83
189	37	75
200	89	95
166	57	63
135	46	68
223	150	133
201	113	109
238	116	105
255	57	67
198	51	57
158	47	56
121	26	34
234	96	111
226	85	93
171	39	60
198	51	70
162	42	52
211	77	86
174	75	80
179	90	94
176	38	100
190	41	70
160	13	19
189	13	13
147	42	47
148	43	37
185	111	105
255	120	119
232	122	118
237	83	81
232	66	54
233	51	88
209	12	12
201	17	35
160	5	0
235	194	196
166	87	106
255	101	130
214	60	83
223	21	54
199	34	65
143	3	33
69	0	23
67	24	33
255	161	107
235	59	16
62	47	40
164	0	1
193	38	44
188	69	89
